,Question,orig_Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
0, Bryan look books Bryan number0 books number1 bookshelves books,"Bryan took a look at his books as well . If Bryan has number0 books in each of his number1 bookshelves , how many books does he have in total ?",56.0 9.0,* number0 number1,504.0,"[12, 13, 14, 18, 19, 20, 27, 28, 29]","Bryan took a look at his books as well . If Bryan has number0 books in each of his number1 bookshelves ,",how many books does he have in total ?
1, fifth grade play chairs number0 rows number1 chairs row chairs play,"For the fifth grade play , the chairs have been put into number0 rows with number1 chairs in each row . How many chairs have been put out for the play ?",27.0 16.0,* number0 number1,432.0,"[11, 12, 13, 14, 15, 16, 28, 29, 30]","For the fifth grade play , the chairs have been put into number0 rows with number1 chairs in each row .",How many chairs have been put out for the play ?
2, number0 trees number1 tall trees park Park workers plant number2 trees today trees park workers,There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today . How many short trees will the park have when the workers are finished ?,41.0 44.0 57.0,+ number0 number2,98.0,"[1, 2, 3, 5, 6, 7, 17, 18, 19, 33, 34, 35]",There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today .,How many short trees will the park have when the workers are finished ?
3, Conner number0 dollars bank account month number1 dollars money account money Conner account number2 months,Conner has number0 dollars in his bank account . Every month he spends number1 dollars . He does not add money to the account . How much money will Conner have in his account after number2 months ?,25000.0 1500.0 8.0,- number0 * number1 number2,13000.0,"[1, 2, 3, 12, 13, 14, 34, 35, 36, 34, 35, 36]",Conner has number0 dollars in his bank account . Every month he spends number1 dollars . He does not add money to the account .,How much money will Conner have in his account after number2 months ?
4, number0 dogwood trees park Park workers plant number1 dogwood trees today dogwood trees park workers,There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,34.0 49.0,+ number0 number1,83.0,"[1, 2, 3, 13, 14, 15, 29, 30, 31]",There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today .,How many dogwood trees will the park have when the workers are finished ?
5, Maggi number0 packages cupcakes number1 cupcakes package number2 cupcakes,Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes . How many are left ?,3.0 4.0 5.0,* number0 number1,12.0,"[1, 2, 3, 8, 9, 10, 16, 17, 18, 21, 22, 23]",Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes .,How many are left ?
6, number0 dollars savings interest rate number1 % interest number2 years dollars,"You deposit number0 dollars in a savings account that pays an annual interest rate of number1 % . How much simple interest would you earn in number2 years , in dollars ?",70.0 3.0 2.5,* * * number0 number1 number2 0.01,5.25,"[1, 2, 3, 14, 15, 16, 25, 26, 27, 28, 29, 30]",You deposit number0 dollars in a savings account that pays an annual interest rate of number1 % .,"How much simple interest would you earn in number2 years , in dollars ?"
7, number0 cards Emily father number1 Bruce number2 apples cards,Emily collects number0 cards . Emily 's father gives Emily number1 more . Bruce has number2 apples . How many cards does Emily have ?,63.0 7.0 13.0,+ number0 number1,70.0,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 21, 22, 23]",Emily collects number0 cards . Emily 's father gives Emily number1 more . Bruce has number2 apples .,How many cards does Emily have ?
8, chef number0 potatoes number1 potato number2 minutes rest,"A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook , how long will it take him to cook the rest ?",15.0 8.0 9.0,* number2 - number0 number1,63.0,"[4, 5, 6, 11, 12, 13, 17, 18, 19, 30, 31, 32]","A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook ,",how long will it take him to cook the rest ?
9, number0 apples number1 pie apples number2 pies,It takes number0 apples to make number1 pie . How many apples does it take to make number2 pies ?,4.0 1.0 504.0,* number0 number2,2016.0,"[1, 2, 3, 5, 6, 7, 16, 17, 18, 16, 17, 18]",It takes number0 apples to make number1 pie .,How many apples does it take to make number2 pies ?
