,Question,orig_Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
0, number0 red apples and number1 green apples in the basket . how many apples in the basket ?,number0 red apples and number1 green apples are in the basket . how many apples are in the basket ?,7 2,+ number0 number1,9.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",number0 red apples and number1 green apples are in the basket .,how many apples are in the basket ?
1, ellen number0 more balls than marin . marin number1 balls . how many balls ellen ?,ellen has number0 more balls than marin . marin has number1 balls . how many balls does ellen have ?,6 9,+ number0 number1,15.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",ellen has number0 more balls than marin . marin has number1 balls .,how many balls does ellen have ?
2, janet number0 oranges and sharon number1 oranges . how many oranges janet and sharon together ?,janet has number0 oranges and sharon has number1 oranges . how many oranges do janet and sharon have together ?,9 7,+ number0 number1,16.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",janet has number0 oranges and sharon has number1 oranges .,how many oranges do janet and sharon have together ?
3, allan number0 balloons and jake number1 balloons to the park . how many balloons allan and jake in the park ?,allan brought number0 balloons and jake brought number1 balloons to the park . how many balloons did allan and jake have in the park ?,2 4,+ number0 number1,6.0,"[1, 2, 3, 6, 7, 8, 21, 22, 23]",allan brought number0 balloons and jake brought number1 balloons to the park .,how many balloons did allan and jake have in the park ?
4, adam number0 more apples than jackie . jackie number1 apples . how many apples adam ?,adam has number0 more apples than jackie . jackie has number1 apples . how many apples does adam have ?,5 9,+ number0 number1,14.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",adam has number0 more apples than jackie . jackie has number1 apples .,how many apples does adam have ?
5, brian number0 more plums than paul . paul number1 plums . how many plums brian ?,brian has number0 more plums than paul . paul has number1 plums . how many plums does brian have ?,4 7,+ number0 number1,11.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",brian has number0 more plums than paul . paul has number1 plums .,how many plums does brian have ?
6, sandra number0 cups of coffee and marcie number1 cups of coffee . how many cups of coffee sandra and marcie in total ?,sandra took number0 cups of coffee and marcie took number1 cups of coffee . how many cups of coffee did sandra and marcie take in total ?,6 2,+ number1 number0,8.0,"[1, 2, 3, 8, 9, 10, 23, 24, 25]",sandra took number0 cups of coffee and marcie took number1 cups of coffee .,how many cups of coffee did sandra and marcie take in total ?
7, number0 plums in the basket . more plums to the basket . now there number1 plums . how many plums to the basket ?,number0 plums were in the basket . more plums were added to the basket . now there are number1 plums . how many plums were added to the basket ?,17 21,- number1 number0,4.0,"[0, 1, 2, 5, 17, 18, 19, 26, 27, 28]",number0 plums were in the basket . more plums were added to the basket . now there are number1 plums .,how many plums were added to the basket ?
8, number0 red plums and number1 green plums in the basket . how many plums in the basket ?,number0 red plums and number1 green plums are in the basket . how many plums are in the basket ?,14 4,+ number1 number0,18.0,"[0, 1, 2, 3, 4, 5, 6, 16, 17, 18]",number0 red plums and number1 green plums are in the basket .,how many plums are in the basket ?
9, marin number0 apples and donald number1 apples . how many apples marin and donald together ?,marin has number0 apples and donald has number1 apples . how many apples do marin and donald have together ?,9 2,+ number0 number1,11.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",marin has number0 apples and donald has number1 apples .,how many apples do marin and donald have together ?
10, number0 apples in the basket . number1 red and the rest green . how many apples green ?,number0 apples were in the basket . number1 are red and the rest are green . how many apples are green ?,46 22,- number0 number1,24.0,"[0, 1, 4, 5, 7, 8, 18, 19, 20]",number0 apples were in the basket . number1 are red and the rest are green .,how many apples are green ?
11, number0 red peaches and number1 green peaches in the basket . how many peaches in the basket ?,number0 red peaches and number1 green peaches are in the basket . how many peaches are in the basket ?,5 14,+ number0 number1,19.0,"[0, 1, 2, 3, 4, 5, 6, 16, 17, 18]",number0 red peaches and number1 green peaches are in the basket .,how many peaches are in the basket ?
12, number0 peaches in the basket . number1 more peaches in the basket . how many peaches in the basket now ?,number0 peaches are in the basket . number1 more peaches are put in the basket . how many peaches are in the basket now ?,20 25,+ number0 number1,45.0,"[0, 1, 5, 6, 7, 8, 9, 21, 22, 23]",number0 peaches are in the basket . number1 more peaches are put in the basket .,how many peaches are in the basket now ?
13, number0 balls in the basket . some of the balls from the basket . now there number1 balls . how many balls from the basket ?,number0 balls were in the basket . some of the balls were removed from the basket . now there are number1 balls . how many balls were removed from the basket ?,8 6,- number0 number1,2.0,"[0, 1, 2, 5, 19, 20, 21, 28, 29, 30]",number0 balls were in the basket . some of the balls were removed from the basket . now there are number1 balls .,how many balls were removed from the basket ?
14, some oranges in the basket . number0 oranges from the basket . now there number1 oranges . how many oranges in the basket before some of the oranges ?,some oranges were in the basket . number0 oranges were taken from the basket . now there are number1 oranges . how many oranges were in the basket before some of the oranges were taken ?,5 3,+ number0 number1,8.0,"[32, 1, 2, 33, 34, 5, 6, 7, 8, 17, 18, 19]",some oranges were in the basket . number0 oranges were taken from the basket . now there are number1 oranges .,how many oranges were in the basket before some of the oranges were taken ?
