,Question,orig_Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
0, number0 number1 are are,number0 red apples and number1 green apples are in the basket . how many apples are in the basket ?,7 2,+ number0 number1,9.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,number0 red apples and number1 green apples are in the basket .,how many apples are in the basket ?
1, has number0 has number1 does have,ellen has number0 more balls than marin . marin has number1 balls . how many balls does ellen have ?,6 9,+ number0 number1,15.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",1,Addition,ellen has number0 more balls than marin . marin has number1 balls .,how many balls does ellen have ?
2, has number0 has number1 do have,janet has number0 oranges and sharon has number1 oranges . how many oranges do janet and sharon have together ?,9 7,+ number0 number1,16.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",1,Addition,janet has number0 oranges and sharon has number1 oranges .,how many oranges do janet and sharon have together ?
3, brought number0 brought number1 did have,allan brought number0 balloons and jake brought number1 balloons to the park . how many balloons did allan and jake have in the park ?,2 4,+ number0 number1,6.0,"[1, 2, 3, 6, 7, 8, 21, 22, 23]",1,Addition,allan brought number0 balloons and jake brought number1 balloons to the park .,how many balloons did allan and jake have in the park ?
4, has number0 has number1 does have,adam has number0 more apples than jackie . jackie has number1 apples . how many apples does adam have ?,5 9,+ number0 number1,14.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",1,Addition,adam has number0 more apples than jackie . jackie has number1 apples .,how many apples does adam have ?
5, has number0 has number1 does have,brian has number0 more plums than paul . paul has number1 plums . how many plums does brian have ?,4 7,+ number0 number1,11.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",1,Addition,brian has number0 more plums than paul . paul has number1 plums .,how many plums does brian have ?
6, took number0 took number1 did take,sandra took number0 cups of coffee and marcie took number1 cups of coffee . how many cups of coffee did sandra and marcie take in total ?,6 2,+ number1 number0,8.0,"[1, 2, 3, 8, 9, 10, 23, 24, 25]",1,Addition,sandra took number0 cups of coffee and marcie took number1 cups of coffee .,how many cups of coffee did sandra and marcie take in total ?
7, number0 were were added are number1 were added,number0 plums were in the basket . more plums were added to the basket . now there are number1 plums . how many plums were added to the basket ?,17 21,- number1 number0,4.0,"[0, 1, 2, 5, 17, 18, 19, 26, 27, 28]",1,Subtraction,number0 plums were in the basket . more plums were added to the basket . now there are number1 plums .,how many plums were added to the basket ?
8, number0 number1 are are,number0 red plums and number1 green plums are in the basket . how many plums are in the basket ?,14 4,+ number1 number0,18.0,"[0, 1, 2, 3, 4, 5, 6, 16, 17, 18]",1,Addition,number0 red plums and number1 green plums are in the basket .,how many plums are in the basket ?
9, has number0 has number1 do have,marin has number0 apples and donald has number1 apples . how many apples do marin and donald have together ?,9 2,+ number0 number1,11.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",1,Addition,marin has number0 apples and donald has number1 apples .,how many apples do marin and donald have together ?
10, number0 were number1 are are are,number0 apples were in the basket . number1 are red and the rest are green . how many apples are green ?,46 22,- number0 number1,24.0,"[0, 1, 4, 5, 7, 8, 18, 19, 20]",1,Subtraction,number0 apples were in the basket . number1 are red and the rest are green .,how many apples are green ?
11, number0 number1 are are,number0 red peaches and number1 green peaches are in the basket . how many peaches are in the basket ?,5 14,+ number0 number1,19.0,"[0, 1, 2, 3, 4, 5, 6, 16, 17, 18]",1,Addition,number0 red peaches and number1 green peaches are in the basket .,how many peaches are in the basket ?
12, number0 are number1 are put are,number0 peaches are in the basket . number1 more peaches are put in the basket . how many peaches are in the basket now ?,20 25,+ number0 number1,45.0,"[0, 1, 5, 6, 7, 8, 9, 21, 22, 23]",1,Addition,number0 peaches are in the basket . number1 more peaches are put in the basket .,how many peaches are in the basket now ?
13, number0 were were removed are number1 were removed,number0 balls were in the basket . some of the balls were removed from the basket . now there are number1 balls . how many balls were removed from the basket ?,8 6,- number0 number1,2.0,"[0, 1, 2, 5, 19, 20, 21, 28, 29, 30]",1,Subtraction,number0 balls were in the basket . some of the balls were removed from the basket . now there are number1 balls .,how many balls were removed from the basket ?
14, were number0 were taken are number1 were were taken,some oranges were in the basket . number0 oranges were taken from the basket . now there are number1 oranges . how many oranges were in the basket before some of the oranges were taken ?,5 3,+ number0 number1,8.0,"[32, 1, 2, 33, 34, 5, 6, 7, 8, 17, 18, 19]",1,Addition,some oranges were in the basket . number0 oranges were taken from the basket . now there are number1 oranges .,how many oranges were in the basket before some of the oranges were taken ?
15, has number0 has number1 does have,jake has number0 fewer peaches than steven . steven has number1 peaches . how many peaches does jake have ?,6 13,- number1 number0,7.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",1,Subtraction,jake has number0 fewer peaches than steven . steven has number1 peaches .,how many peaches does jake have ?
16, has number0 has number1 does have,david has number0 fewer apples than marin . marin has number1 apples . how many apples does david have ?,0 3,- number1 number0,3.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",1,Subtraction,david has number0 fewer apples than marin . marin has number1 apples .,how many apples does david have ?
17, has number0 has number1 does have,jake has number0 fewer balls than audrey . audrey has number1 balls . how many balls does jake have ?,34 41,- number1 number0,7.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",1,Subtraction,jake has number0 fewer balls than audrey . audrey has number1 balls .,how many balls does jake have ?
18, has number0 has number1 does have,brian has number0 fewer oranges than marcie . marcie has number1 oranges . how many oranges does brian have ?,0 12,- number1 number0,12.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",1,Subtraction,brian has number0 fewer oranges than marcie . marcie has number1 oranges .,how many oranges does brian have ?
19, number0 were sitting number1 came join are sitting,number0 birds were sitting on the fence . number1 more birds came to join them . how many birds are sitting on the fence ?,2 4,+ number0 number1,6.0,"[0, 1, 3, 4, 8, 9, 10, 21, 22, 23]",1,Addition,number0 birds were sitting on the fence . number1 more birds came to join them .,how many birds are sitting on the fence ?
20, have number0 ate number1 do have left,you have number0 cookies and you ate number1 of them . how many cookies do you have left ?,7 2,- number0 number1,5.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",1,Subtraction,you have number0 cookies and you ate number1 of them .,how many cookies do you have left ?
21, have collected number0 do need collect have number1,you have collected number0 crickets . how many more crickets do you need to collect to have number1 crickets ?,7 11,- number1 number0,4.0,"[1, 2, 3, 4, 6, 10, 16, 17, 18]",1,Subtraction,you have collected number0 crickets .,how many more crickets do you need to collect to have number1 crickets ?
22, number0 are sitting number1 flies are left,number0 birds are sitting on a branch . number1 flies away . how many birds are left on the branch ?,4 1,- number0 number1,3.0,"[0, 1, 3, 8, 9, 17, 18, 19]",1,Subtraction,number0 birds are sitting on a branch . number1 flies away .,how many birds are left on the branch ?
23, number0 are playing number1 go eat are left,number0 raccoons are playing in the woods . number1 go home to eat dinner . how many raccoons are left in the woods ?,3 2,- number0 number1,1.0,"[0, 1, 3, 8, 9, 20, 21, 22]",1,Subtraction,number0 raccoons are playing in the woods . number1 go home to eat dinner .,how many raccoons are left in the woods ?
24, number0 were sitting number1 joined are,number0 owls were sitting on the fence . number1 more owls joined them . how many owls are on the fence now ?,3 2,+ number0 number1,5.0,"[0, 1, 3, 6, 8, 9, 10, 19, 20, 21]",1,Addition,number0 owls were sitting on the fence . number1 more owls joined them .,how many owls are on the fence now ?
25, number0 were working number1 went are working,number0 beavers were working on their home . number1 went for a swim . how many beavers are still working on their home ?,2 1,- number0 number1,1.0,"[0, 1, 3, 5, 8, 9, 20, 21, 22]",1,Subtraction,number0 beavers were working on their home . number1 went for a swim .,how many beavers are still working on their home ?
26, number0 are sitting number1 joins,number0 toucans are sitting on a tree limb . number1 more toucan joins them . how many toucans in all ?,2 1,+ number0 number1,3.0,"[0, 1, 3, 9, 10, 11, 17, 18, 19]",1,Addition,number0 toucans are sitting on a tree limb . number1 more toucan joins them .,how many toucans in all ?
27, are baking bakes number0 mrs. bakes number1 mrs. bakes number2 does grade,mrs. hilt 's favorite first grade classes are baking muffins . mrs. brier 's class bakes number0 muffins mrs. macadams 's class bakes number1 muffins and mrs. flannery 's class bakes number2 muffins . how many muffins does first grade bake in all ?,18 20 17,+ + number0 number1 number2,55.0,"[32, 1, 4, 6, 8, 40, 41, 11, 42, 15, 16, 17, 19, 22, 23, 24, 30, 31]",1,Sum,mrs. hilt 's favorite first grade classes are baking muffins . mrs. brier 's class bakes number0 muffins mrs. macadams 's class bakes number1 muffins and mrs. flannery 's class bakes number2 muffins .,how many muffins does first grade bake in all ?
28, bought number0 number1 did spend number2 toys,mrs. hilt bought a yoyo for number0 cents and a whistle for number1 cents . how much did she spend in all for the number2 toys ?,24 14 2,+ number0 number1,38.0,"[5, 6, 7, 11, 12, 13, 23, 24, 25]",1,Addition,mrs. hilt bought a yoyo for number0 cents and a whistle for number1 cents .,how much did she spend in all for the number2 toys ?
29, made number0 used number1 number2 did use,mrs. hilt made number0 rice krispie treats . she used number1 large marshmallows and number2 mini marshmallows . how many marshmallows did she use altogether ?,5 8 10,+ number1 number2,18.0,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24]",1,Addition,mrs. hilt made number0 rice krispie treats . she used number1 large marshmallows and number2 mini marshmallows .,how many marshmallows did she use altogether ?
30, was number0 received number1 did mrs. have,at mrs. hilt 's house there was number0 inches of snow and brecknock elementary school received number1 inches of snow . how much more snow did mrs. hilt 's house have ?,29 17,- number0 number1,12.0,"[6, 7, 8, 15, 16, 17, 28, 29, 30]",1,Subtraction,at mrs. hilt 's house there was number0 inches of snow and brecknock elementary school received number1 inches of snow .,how much more snow did mrs. hilt 's house have ?
31, has number0 spends number1 number2 does have left,mrs. hilt has $ number0 . she spends $ number1 on a toy truck and $ number2 on a pencil case . how much money does she have left ?,10 3 2,- number0 + number1 number2,5.0,"[2, 3, 4, 7, 8, 9, 10, 15, 16, 17, 26, 27, 28]",1,Subtraction,mrs. hilt has $ number0 . she spends $ number1 on a toy truck and $ number2 on a pencil case .,how much money does she have left ?
32, has number0 take number1 go,mrs. hilt has number0 friends . she can only take number1 of her friends to the movies . how many friends ca n't go to the movies ?,15 8,- number0 number1,7.0,"[1, 2, 3, 4, 5, 9, 10, 11, 24, 25, 26]",1,Subtraction,mrs. hilt has number0 friends . she can only take number1 of her friends to the movies .,how many friends ca n't go to the movies ?
33, ran number0 number1 number2 did run,mrs. hilt ran number0 miles on monday number1 miles on wednesday and number2 miles on friday . how many total miles did she run that week ?,3 2 7,+ + number0 number1 number2,12.0,"[1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 23, 24, 25]",1,Sum,mrs. hilt ran number0 miles on monday number1 miles on wednesday and number2 miles on friday .,how many total miles did she run that week ?
34, picked has number0 read number1 did have left read,mrs. hilt picked up a book that has number0 pages in it . she read number1 of the pages . how many pages did she have left to read ?,17 11,- number0 number1,6.0,"[1, 6, 7, 8, 9, 14, 15, 16, 26, 27, 28]",1,Subtraction,mrs. hilt picked up a book that has number0 pages in it . she read number1 of the pages .,how many pages did she have left to read ?
35, had number0 bought number1 did have left,mrs. hilt had number0 cents . she bought a pencil for number1 cents . how much money did she have left ?,15 11,- number0 number1,4.0,"[2, 3, 4, 10, 11, 12, 18, 19, 20]",1,Subtraction,mrs. hilt had number0 cents . she bought a pencil for number1 cents .,how much money did she have left ?
36, hilt met number0 number1 were carrying were carrying were carrying,mrs. hilt met number0 friends . number1 of the friends were carrying pears . the rest were carrying oranges . how many friends were carrying oranges ?,15 9,- number0 number1,6.0,"[1, 2, 3, 4, 6, 7, 23, 24, 25]",1,Subtraction,mrs. hilt met number0 friends . number1 of the friends were carrying pears . the rest were carrying oranges .,how many friends were carrying oranges ?
37, is getting blew number0 number1 did blow,mary 's mom is getting ready for mary 's birthday party . she blew up number0 balloons this morning and number1 balloons this afternoon . how many balloons did she blow up in all ?,6 5,+ number0 number1,11.0,"[32, 1, 33, 5, 14, 15, 16, 19, 20, 21, 31]",1,Addition,mary 's mom is getting ready for mary 's birthday party . she blew up number0 balloons this morning and number1 balloons this afternoon .,how many balloons did she blow up in all ?
38, gives shelby earned number0 earned number1 did shelby,shelby 's teacher gives out gold stars for great math work . yesterday shelby earned number0 gold stars . today she earned number1 more . how many gold stars did shelby earn in all ?,4 3,+ number0 number1,7.0,"[32, 1, 2, 3, 33, 6, 14, 15, 16, 17, 21, 22, 23, 31]",1,Addition,shelby 's teacher gives out gold stars for great math work . yesterday shelby earned number0 gold stars . today she earned number1 more .,how many gold stars did shelby earn in all ?
39, picked number0 number1 did pick,the litter patrol picked up number0 glass bottles and number1 aluminum cans on saturday . how many pieces of litter did they pick up altogether ?,10 8,+ number0 number1,18.0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 22, 23, 24]",1,Addition,the litter patrol picked up number0 glass bottles and number1 aluminum cans on saturday .,how many pieces of litter did they pick up altogether ?
40, had number0 lost number1 does have left,millie had number0 bracelets . she lost number1 of them . how many bracelets does millie have left ?,9 2,- number0 number1,7.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",1,Subtraction,millie had number0 bracelets . she lost number1 of them .,how many bracelets does millie have left ?
41, has number0 do has finished number1 does have left,sammy has number0 math problems to do for homework . he has already finished number1 of them . how many math problems does sammy have left ?,9 2,- number0 number1,7.0,"[1, 2, 3, 4, 7, 13, 14, 15, 23, 24, 25]",1,Subtraction,sammy has number0 math problems to do for homework . he has already finished number1 of them .,how many math problems does sammy have left ?
42, were number0 riding number1 got are left,there were number0 students riding on the school bus . at the first stop number1 students got off of the bus . how many students are left on the bus ?,10 3,- number0 number1,7.0,"[1, 2, 3, 13, 14, 15, 16, 27, 28, 29]",1,Subtraction,there were number0 students riding on the school bus . at the first stop number1 students got off of the bus .,how many students are left on the bus ?
43, were number0 swimming number1 flew are swimming,there were number0 ducks swimming in the pond . number1 ducks flew away . how many ducks are still swimming in the pond ?,8 3,- number0 number1,5.0,"[1, 2, 3, 5, 9, 10, 20, 21, 22]",1,Subtraction,there were number0 ducks swimming in the pond . number1 ducks flew away .,how many ducks are still swimming in the pond ?
44, went bought number0 number1 did buy,lucy went to the grocery store . she bought number0 packs of cookies and number1 packs of noodles . how many packs of groceries did she buy in all ?,12 16,+ number0 number1,28.0,"[1, 7, 8, 9, 10, 13, 14, 15, 26, 27, 28]",2,Addition,lucy went to the grocery store . she bought number0 packs of cookies and number1 packs of noodles .,how many packs of groceries did she buy in all ?
45, went bought number0 number1 did buy,roden went to a pet shop . he bought number0 gold fish and number1 blue fish . how many fish did he buy ?,15 7,+ number0 number1,22.0,"[1, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20, 21, 22]",2,Addition,roden went to a pet shop . he bought number0 gold fish and number1 blue fish .,how many fish did he buy ?
46, read number0 i read number1 is number did i,i read number0 pages of my english book yesterday . today i read number1 pages . what is the total number of pages did i read ?,21 17,+ number0 number1,38.0,"[1, 2, 3, 12, 13, 14, 23, 24, 25]",2,Addition,i read number0 pages of my english book yesterday . today i read number1 pages .,what is the total number of pages did i read ?
47, are number0 number1 are,in a school there are number0 girls and number1 boys . how many pupils are there in that school ?,542 387,+ number0 number1,929.0,"[4, 5, 6, 7, 8, 9, 16, 17, 18]",2,Addition,in a school there are number0 girls and number1 boys .,how many pupils are there in that school ?
48, has number0 has number1 do have,linda has number0 candies . chloe has number1 how many candies do they have in all ?,34 28,+ number0 number1,62.0,"[1, 2, 3, 5, 6, 7, 8, 13, 14, 15]",2,Addition,linda has number0 candies . chloe has number1 how,many candies do they have in all ?
49, has number0 number1 does have,jose has number0 chickens and number1 ducks . how many fowls does he have ?,28 18,+ number0 number1,46.0,"[1, 2, 3, 4, 5, 6, 11, 12, 13]",2,Addition,jose has number0 chickens and number1 ducks .,how many fowls does he have ?
